tail wing sex
180 278 0
186 277 0
206 308 0
184 290 0
177 273 0
177 284 0
176 267 0
200 281 0
191 287 0
193 271 0
212 302 0
181 254 0
195 297 0
187 281 0
190 284 0
185 282 0
195 285 0
183 276 0
202 308 0
177 254 0
177 268 0
170 260 0
186 274 0
177 272 0
178 266 0
192 281 0
204 276 0
191 290 0
178 265 0
177 275 0
184 277 0
176 281 0
185 287 0
191 295 0
177 267 0
197 310 0
199 299 0
190 273 0
180 278 0
189 280 0
194 290 0
186 287 0
191 286 0
187 288 0
186 275 0
191 284 1
197 285 1
208 288 1
180 273 1
180 275 1
188 280 1
210 283 1
196 288 1
191 271 1
179 257 1
208 289 1
202 285 1
200 272 1
192 282 1
199 280 1
186 266 1
197 285 1
201 295 1
190 282 1
209 305 1
187 285 1
207 297 1
178 268 1
202 271 1
205 285 1
190 280 1
189 277 1
211 310 1
216 305 1
189 274 1
173 271 1
194 280 1
198 300 1
180 272 1
190 292 1
191 286 1
196 285 1
207 286 1
209 303 1
179 261 1
186 262 1
174 245 1
181 250 1
189 262 1
188 258 1
