X1 X2 X3
Female 127 441
Female 171 455
Female 171 462
Female 164 446
Female 165 463
Female 127 393
Female 162 451
Female 133 376
Female 173 475
Female 145 398
Female 154 435
Female 165 491
Female 178 485
Female 169 477
Female 186 530
Female 170 478
Female 182 511
Female 172 475
Female 182 487
Female 172 454
Female 183 502
Female 170 483
Female 171 477
Female 181 493
Female 167 490
Female 175 493
Female 139 477
Female 183 501
Female 198 537
Female 190 566
Female 192 569
Female 211 574
Female 206 570
Female 206 573
Female 165 531
Female 189 528
Female 195 536
Male 126 457
Male 128 466
Male 151 466
Male 115 361
Male 138 473
Male 145 477
Male 145 507
Male 145 493
Male 158 558
Male 152 495
Male 159 521
Male 138 487
Male 166 565
Male 168 585
Male 160 550
Male 181 652
Male 185 587
Male 172 606
Male 180 591
Male 205 683
Male 175 625
Male 182 612
Male 185 618
Male 181 613
Male 167 600
Male 167 602
Male 160 596
Male 165 611
Male 173 603
