"z_id","address","dateSold","price","beds","baths","house_area"
"zpid_60912249","2155 NW 88th St, Gainesville, FL",2017-03-05,240000,4,2,1930
"zpid_42708376","3331 NW 41st Ave, Gainesville, FL",2017-03-01,137500,4,2,1400
"zpid_42703632","5902 NW 29th St, Gainesville, FL",2017-02-23,141500,3,2,1227
"zpid_2103972846","3800 SW 20th Ave, Gainesville, FL",2017-02-23,115500,4,4,1225
"zpid_42715056","2006 NW 35th Ter, Gainesville, FL",2017-01-24,147000,3,2,1858
"zpid_42696912","10939 NW 35th Pl, Gainesville, FL",2017-01-17,180000,3,2,1344
"zpid_42720804","5015 SW 78th Way, Gainesville, FL",2017-01-11,130000,3,2,1703
"zpid_42708601","4219 NW 30th Ter, Gainesville, FL",2017-01-05,132000,3,2,1350
"zpid_2096319056","2587 SW 115th Dr, Gainesville, FL",2016-12-29,699000,4,3,3422
"zpid_42715022","2035 NW 34th Ter, Gainesville, FL",2016-12-22,222000,3,3,2748
"zpid_42697757","11613 NW 9th Ln, Gainesville, FL",2016-12-20,140000,4,3,2356
"zpid_2098883547","2740 SW 115th Dr, Gainesville, FL",2016-12-15,645000,4,3,2814
"zpid_42697554","12205 NW 7th Ln, Newberry, FL",2016-12-15,92000,2,2,1293
"zpid_42712271","1813 NW 93rd Dr, Gainesville, FL",2016-12-15,275000,4,3,2813
"zpid_42724726","4012 SW 19th St, Gainesville, FL",2016-12-15,184900,3,2,1768
"zpid_42706896","4928 NW 36th St, Gainesville, FL",2016-12-15,94500,3,3,1272
"zpid_42702693","7545 NW 47th Way, Gainesville, FL",2016-12-15,162000,3,2,1396
"zpid_42711929","10625 NW 32nd Pl, Gainesville, FL",2016-12-15,217450,3,2,1859
"zpid_42717168","5531 W Newberry Rd, Gainesville, FL",2016-12-15,2e+05,3,2,2028
"zpid_42711885","3014 NW 75th Ter, Gainesville, FL",2016-12-15,145255,3,2,1803
"zpid_42722402","3626 SW 97th Way, Gainesville, FL",2016-12-14,335000,3,3,2368
"zpid_2098639744","5129 NW 50th Ln, Gainesville, FL",2016-12-13,380000,4,3,3280
"zpid_42708095","2612 NW 45th Pl, Gainesville, FL",2016-12-13,118000,3,2,1200
"zpid_42716147","2820 NW 5th Ct, Gainesville, FL",2016-12-13,482000,3,2.5,3588
"zpid_42710345","3526 NW 53rd Ter, Gainesville, FL",2016-12-13,148600,3,2,1353
"zpid_42713464","1117 NW 51st Ter, Gainesville, FL",2016-12-13,40000,4,2,2964
"zpid_42706278","4414 NW 69th St, Gainesville, FL",2016-12-12,215000,3,2,2161
"zpid_42722382","3623 SW 94th Way, Gainesville, FL",2016-12-12,378500,4,3,2540
"zpid_103033050","1314 NW 121st Way, Gainesville, FL",2016-12-12,332000,4,3,2458
"zpid_42696853","3621 NW 107th Ter, Gainesville, FL",2016-12-12,140000,2,2,1187
"zpid_66691160","11209 NW 31st Ln, Gainesville, FL",2016-12-12,186900,3,2,1520
"zpid_52841570","9330 SW 32nd Pl, Gainesville, FL",2016-12-12,498000,4,3,3214
"zpid_42730334","1630 NW 19th Ln, Gainesville, FL",2016-12-12,99500,3,2.5,1540
"zpid_42719611","1709 SW 76th Ter, Gainesville, FL",2016-12-12,187500,3,2,1746
"zpid_42719444","1732 SW 67th Ter, Gainesville, FL",2016-12-12,99000,3,1,1000
"zpid_103023246","2230 NW 104th Way, Gainesville, FL",2016-12-09,9e+05,5,5,4244
"zpid_42706984","3538 NW 46th Pl, Gainesville, FL",2016-12-09,165000,3,2,1392
"zpid_42723471","5802 SW 89th Ter, Gainesville, FL",2016-12-09,359000,4,3,2488
"zpid_42704127","3423 NW 67th Ave, Gainesville, FL",2016-12-09,190000,3,3,1521
"zpid_42710338","3724 NW 53rd Ter, Gainesville, FL",2016-12-09,166700,3,2,1752
"zpid_42705341","4913 NW 64th Blvd, Gainesville, FL",2016-12-09,240000,3,3,2022
"zpid_87626756","2786 NW 26th Pl, Gainesville, FL",2016-12-08,9e+05,6,5,5017
"zpid_42717829","525 NW 80th Blvd, Gainesville, FL",2016-12-08,415800,4,2.5,2845
